time,P_tank1,P_tank2,P_tank3,P_tank4,P_tank5,P_tank6,P_tank7,P_tank8,P_tank9,P_tank10
0.0,3500.000000000077,3699.9999999998818,3900.000000000033,4100.000000000049,4299.9999999999745,4499.999999999963,4700.00000000013,4900.000000000026,5099.999999999879,5300.000000000157
1.0,3500.565970085561,3700.5455587034085,3900.5269237087928,4100.509631485231,4300.49333682293,4500.476507906473,4700.461248647521,4900.443984820995,5100.427054846965,5300.410092823272
2.0,3501.1317872152968,3701.0909809199247,3901.0537243009094,4101.019150896881,4300.9865708226,4500.952919581887,4700.92240807523,4900.8878847272645,5100.85402880535,5300.820108554683
3.0,3501.6974790147965,3701.63629122796,3901.580423778663,4101.528578024173,4301.479719859512,4501.429252334939,4701.383493949374,4901.331715761339,5101.2809380412,5301.230063247273
4.0,3502.2630455482035,3702.1814896784076,3902.1070221831137,4102.037912900893,4301.972783961885,4501.905506189994,4701.844506290483,4901.775477941271,5101.7077825702045,5301.639956914403
5.0,3502.8284868796295,3702.726576321923,3902.633519555415,4102.547155560851,4302.4657631578775,4502.381681171377,4702.305445119161,4902.219171285199,5102.134562408086,5302.0497895695225
6.0,3503.3938030730887,3703.2715512092814,3903.1599159365283,4103.056306037976,4302.958657475663,4502.857777303347,4702.766310455969,4902.662795811099,5102.561277570536,5302.459561226037
7.0,3503.958994192523,3703.816414391102,3903.686211367414,4103.565364365514,4303.451466943434,4503.3337946102365,4703.227102321488,4903.106351537013,5102.9879280732375,5302.869271897391
8.0,3504.524060301849,3704.3611659180187,3904.2124058890586,4104.0743305774295,4303.9441915892985,4503.809733116314,4703.687820736206,4903.549838481016,5103.414513931908,5303.278921597015
9.0,3505.089001464882,3704.9058058405712,3904.73849954233,4104.583204707442,4304.436831441421,4504.285592845828,4704.148465720695,4903.99325666098,5103.841035162086,5303.68851033828
10.0,3505.6538177454618,3705.4503342093394,3905.2644923680577,4105.091986789161,4304.929386527485,4504.761373823041,4704.609037295437,4904.43660609509,5104.267491779483,5304.098038134687
11.0,3506.2185092072805,3705.9947510748166,3905.7903844071666,4105.600676856177,4305.421856876201,4505.237076072188,4705.069535480931,4904.87988680124,5104.69388379983,5304.5075049995385
12.0,3506.7830759139692,3706.5390564875183,3906.316175700488,4106.109274942116,4305.91424251529,4505.712699617471,4705.529960297658,4905.323098797435,5105.1202112385545,5304.916910946239
13.0,3507.3475179291627,3707.083250497956,3906.8418662887884,4106.617781080501,4306.406543472909,4506.188244483071,4705.990311766105,4905.766242101664,5105.546474111727,5305.326255988185
14.0,3507.9118353163944,3707.6273331560924,3907.367456212805,4107.126195304956,4306.8987597769965,4506.663710693203,4706.450589906708,4906.2093167319435,5105.972672434457,5305.735540138745
15.0,3508.476028139119,3708.171304512483,3907.8929455131597,4107.634517648989,4307.390891455552,4507.139098272034,4706.910794740019,4906.652322706115,5106.3988062226435,5306.144763411322
16.0,3509.040096460762,3708.715164617392,3908.4183342307806,4108.14274814614,4307.88293853656,4507.614407243744,4707.370926286434,4907.095260042141,5106.824875491812,5306.553925819239
17.0,3509.604040344696,3709.2589135210346,3908.943622406191,4108.650886829904,4308.374901047997,4508.089637632467,4707.830984566405,4907.538128758014,5107.250880257626,5306.96302737588
18.0,3510.1678598541876,3709.8025512735794,3909.4688100800618,4109.1589337336645,4308.866779017814,4508.56478946235,4708.2908538592865,4907.980928871662,5107.676820535652,5307.372068094562
19.0,3510.7315550524654,3710.3460779251523,3909.9938972930127,4109.666888890912,4309.358572473932,4509.039862757529,4708.749657022878,4908.42366040095,5108.102696341461,5307.7810479886275
20.0,3511.295126002756,3710.889493525885,3910.5188840855476,4110.174752335095,4309.850281444271,4509.514857542016,4709.208386944814,4908.866323363829,5108.528507690661,5308.189967071454
21.0,3511.8585727681325,3711.4327981258007,3911.043770498287,4110.6825240995995,4310.34190595677,4509.98977384,4709.667043645833,4909.308917778187,5108.95425459876,5308.598825356288
22.0,3512.4218954116373,3711.9759917749698,3911.5685565716744,4111.190204217769,4310.833446039255,4510.464611675486,4710.12562714677,4909.751443661924,5109.379937081384,5309.007622856519
23.0,3512.9850939962853,3712.5190745233367,3912.093242346199,4111.69779272301,4311.324901719616,4510.939371072532,4710.584137468369,4910.193901032888,5109.805555153988,5309.416359585428
24.0,3513.5481685850264,3713.062046420843,3912.6178278623156,4112.205289648573,4311.816273025699,4511.414052055214,4711.042574631432,4910.636289908936,5110.231108832177,5309.825035556325
25.0,3514.111119240717,3713.6049075174606,3913.1423131604874,4112.712695027813,4312.307559985337,4511.8886546476615,4711.500938656715,4911.078610307997,5110.656598131435,5310.233650782499
26.0,3514.673946026212,3714.1476578628785,3913.666698281129,4113.220008894011,4312.798762626319,4512.363178873692,4711.959229564916,4911.520862248006,5111.082023067316,5310.642205277248
27.0,3515.2366490042014,3714.6902975070266,3914.190983264455,4113.727231280394,4313.289880976469,4512.837624757405,4712.417447376803,4911.963045746516,5111.507383655322,5311.050699053864
28.0,3515.7992282374034,3715.2328264996663,3914.7151681508694,4114.234362220266,4313.780915063554,4513.311992322808,4712.875592113121,4912.405160821538,5111.9326799109995,5311.459132125613
29.0,3516.3616837884447,3715.7752448904416,3915.2392529807007,4114.741401746809,4314.271864915324,4513.786281593871,4713.3336637945085,4912.847207490851,5112.357911849832,5311.8675045057635
30.0,3516.92401571997,3716.3175527291314,3915.763237794136,4115.248349893221,4314.762730559483,4514.260492594534,4713.791662441682,4913.289185772303,5112.7830794873,5312.275816207579
31.0,3517.4862240944217,3716.8597500653036,3916.287122631477,4115.755206692643,4315.253512023832,4514.734625348737,4714.249588075323,4913.731095683676,5113.208182838926,5312.68406724431
32.0,3518.048308974292,3717.401836948584,3916.810907532902,4116.261972178233,4315.744209336056,4515.208679880431,4714.707440716097,4914.172937242771,5113.633221920096,5313.092257629203
33.0,3518.610270421963,3717.943813428522,3917.3345925385856,4116.768646383144,4316.234822523836,4515.682656213525,4715.165220384746,4914.614710467377,5114.058196746397,5313.500387375478
34.0,3519.1721084997844,3718.485679554632,3917.8581776886745,4117.275229340492,4316.725351614855,4516.156554371907,4715.622927101802,4915.056415375224,5114.483107333185,5313.908456496429
35.0,3519.7338232700317,3719.0274353764576,3918.381663023251,4117.781721083268,4317.215796636715,4516.63037437951,4716.080560887942,4915.498051984129,5114.907953695909,5314.316465005241
